,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,3M,http://www.finanzen.net/aktien/3M-Aktie,US88579Y1010,851745,MMM,USA,MMM,True
1,American Express,http://www.finanzen.net/aktien/American_Express-Aktie,US0258161092,850226,AXP,USA,AXP,True
2,Apple,http://www.finanzen.net/aktien/Apple-Aktie,US0378331005,865985,AAPL,USA,AAPL,True
3,Boeing,http://www.finanzen.net/aktien/Boeing-Aktie,US0970231058,850471,BA,USA,BA,True
4,Caterpillar,http://www.finanzen.net/aktien/Caterpillar-Aktie,US1491231015,850598,CAT,USA,CAT,True
5,Chevron,http://www.finanzen.net/aktien/Chevron-Aktie,US1667641005,852552,CVX,USA,CVX,True
6,Cisco,http://www.finanzen.net/aktien/Cisco-Aktie,US17275R1023,878841,CSCO,USA,CSCO,True
7,Coca-Cola,http://www.finanzen.net/aktien/Coca-Cola-Aktie,US1912161007,850663,KO,USA,KO,True
8,DowDuPont,http://www.finanzen.net/aktien/DowDuPont-Aktie,US26078J1007,A2DN8H,DWDP,USA,DWDP,True
9,ExxonMobil,http://www.finanzen.net/aktien/ExxonMobil-Aktie,US30231G1022,852549,XOM,USA,XOM,True
10,General Electric,http://www.finanzen.net/aktien/General_Electric-Aktie,US3696041033,851144,GE,USA,GE,True
11,Goldman Sachs,http://www.finanzen.net/aktien/Goldman_Sachs-Aktie,US38141G1040,920332,GS,USA,GS,True
12,Home Depot,http://www.finanzen.net/aktien/Home_Depot-Aktie,US4370761029,866953,HD,USA,HD,True
13,IBM,http://www.finanzen.net/aktien/IBM-Aktie,US4592001014,851399,IBM,USA,IBM,True
14,Intel,http://www.finanzen.net/aktien/Intel-Aktie,US4581401001,855681,INTC,USA,INTC,True
15,Johnson Johnson,http://www.finanzen.net/aktien/JohnsonJohnson-Aktie,US4781601046,853260,JNJ,USA,JNJ,True
16,JPMorgan Chase,http://www.finanzen.net/aktien/JPMorgan-Aktie,US46625H1005,850628,JPM,USA,JPM,True
17,McDonalds,http://www.finanzen.net/aktien/McDonalds-Aktie,US5801351017,856958,MCD,USA,MCD,True
18,Merck,http://www.finanzen.net/aktien/MerckCo-Aktie,US58933Y1055,A0YD8Q,MRK,USA,MRK,True
19,Microsoft,http://www.finanzen.net/aktien/Microsoft-Aktie,US5949181045,870747,MSFT,USA,MSFT,True
20,Nike,http://www.finanzen.net/aktien/Nike-Aktie,US6541061031,866993,NKE,USA,NKE,True
21,Pfizer,http://www.finanzen.net/aktien/Pfizer-Aktie,US7170811035,852009,PFE,USA,PFE,True
22,Procter Gamble,http://www.finanzen.net/aktien/Procter_Gamble-Aktie,US7427181091,852062,PG,USA,PG,True
23,Travelers,http://www.finanzen.net/aktien/Travelers-Aktie,US89417E1091,A0MLX4,TRV,USA,TRV,True
24,United Technologies,http://www.finanzen.net/aktien/United_Technologies-Aktie,US9130171096,852759,UTX,USA,UTX,True
25,UnitedHealth,http://www.finanzen.net/aktien/UnitedHealth-Aktie,US91324P1021,869561,UNH,USA,UNH,True
26,Verizon,http://www.finanzen.net/aktien/Verizon-Aktie,US92343V1044,868402,VZ,USA,VZ,True
27,Visa,http://www.finanzen.net/aktien/Visa-Aktie,US92826C8394,A0NC7B,V,USA,V,True
28,Walmart,http://www.finanzen.net/aktien/Walmart-Aktie,US9311421039,860853,WMT,USA,WMT,True
29,Walt Disney,http://www.finanzen.net/aktien/Walt_Disney-Aktie,US2546871060,855686,DIS,USA,DIS,True
