,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,adidas,http://www.finanzen.net/aktien/adidas-Aktie,DE000A1EWWW0,A1EWWW,ADS,Deutschland,ADS.DE,True
1,Allianz,http://www.finanzen.net/aktien/Allianz-Aktie,DE0008404005,840400,ALV,Deutschland,ALV.DE,True
2,BASF,http://www.finanzen.net/aktien/BASF-Aktie,DE000BASF111,BASF11,BAS,Deutschland,BAS.DE,True
3,Bayer,http://www.finanzen.net/aktien/Bayer-Aktie,DE000BAY0017,BAY001,BAYN,Deutschland,BAYN.DE,True
4,BMW,http://www.finanzen.net/aktien/BMW-Aktie,DE0005190003,519000,BMW,Deutschland,BMW.DE,True
5,Daimler,http://www.finanzen.net/aktien/Daimler-Aktie,DE0007100000,710000,DAI,Deutschland,DAI.DE,True
6,Deutsche Bank,http://www.finanzen.net/aktien/Deutsche_Bank-Aktie,DE0005140008,514000,DB,Deutschland,DBK.DE,True
7,Deutsche Post,http://www.finanzen.net/aktien/Deutsche_Post-Aktie,DE0005552004,555200,DPW,Deutschland,DPW.DE,True
8,Deutsche Telekom,http://www.finanzen.net/aktien/Deutsche_Telekom-Aktie,DE0005557508,555750,DTE,Deutschland,DTE.DE,True
9,E.ON,http://www.finanzen.net/aktien/eon-Aktie,DE000ENAG999,ENAG99,EON,Deutschland,EOAN.DE,True
10,Fresenius,http://www.finanzen.net/aktien/Fresenius-Aktie,DE0005785604,578560,FRE,Deutschland,FRE.DE,True
11,Münchener Rückversicherungs-Gesellschaft,http://www.finanzen.net/aktien/Munich_Re-Aktie,DE0008430026,843002,MUV2,Deutschland,MUV2.DE,True
12,SAP,http://www.finanzen.net/aktien/SAP-Aktie,DE0007164600,716460,SAP,Deutschland,SAP.DE,True
13,Siemens,http://www.finanzen.net/aktien/Siemens-Aktie,DE0007236101,723610,SIE,Deutschland,SIE.DE,True
14,Volkswagen (VW) vz.,http://www.finanzen.net/aktien/Volkswagen_vz-Aktie,DE0007664039,766403,VOW3,Deutschland,VOW3.DE,True
15,Airbus,http://www.finanzen.net/aktien/airbus-Aktie,NL0000235190,938914,AIR,Niederlande,AIR.F,True
16,AB InBev SA-NV (Anheuser-Busch InBev),http://www.finanzen.net/aktien/AB_InBev-Aktie,BE0974293251,A2ASUV,,Belgien,1NBA.F,True
17,Ahold Delhaize (Ahold),http://www.finanzen.net/aktien/Ahold_Delhaize-Aktie,NL0011794037,A2ANT0,,Niederlande,AD.AS,True
18,Air Liquide,http://www.finanzen.net/aktien/Air_Liquide-Aktie,FR0000120073,850133,AIL,Frankreich,AIL.F,True
19,ASML NV,http://www.finanzen.net/aktien/ASML-Aktie,NL0010273215,A1J4U4,,Niederlande,ASMF.F,True
20,AXA,http://www.finanzen.net/aktien/AXA-Aktie,FR0000120628,855705,AXA,Frankreich,CS.PA,True
21,BBVA,http://www.finanzen.net/aktien/BBVA-Aktie,ES0113211835,875773,BOY,Spanien,BOY.DE,True
22,BNP Paribas,http://www.finanzen.net/aktien/BNP_Paribas-Aktie,FR0000131104,887771,BNP,Frankreich,BNP.F,True
23,CRH,http://www.finanzen.net/aktien/CRH-Aktie,IE0001827041,864684,CRHCY,Irland,CRG.F,True
24,Danone,http://www.finanzen.net/aktien/Danone-Aktie,FR0000120644,851194,BSN,Frankreich,BSN.F,True
25,Enel,http://www.finanzen.net/aktien/Enel-Aktie,IT0003128367,928624,ENL,Italien,ENL.DE,True
26,Engie SA,http://www.finanzen.net/aktien/Engie-Aktie,FR0010208488,A0ER6Q,,Frankreich,GZF.F,True
27,Eni,http://www.finanzen.net/aktien/Eni-Aktie,IT0003132476,897791,ENT,Italien,ENI.F,True
28,Essilor,http://www.finanzen.net/aktien/Essilor-Aktie,FR0000121667,863195,,Frankreich,ESL.F,True
29,Iberdrola SA,http://www.finanzen.net/aktien/Iberdrola-Aktie,ES0144580Y14,A0M46B,,Spanien,IBE1.F,True
30,Inditex,http://www.finanzen.net/aktien/Inditex-Aktie,ES0148396007,A11873,IXD1,Spanien,IXD1.F,True
31,ING Group,http://www.finanzen.net/aktien/ING-Aktie,NL0011821202,A2ANV3,INN,Niederlande,INN1.F,True
32,Intesa Sanpaolo,http://www.finanzen.net/aktien/Intesa_Sanpaolo-Aktie,IT0000072618,850605,IES,Italien,IES.F,True
33,LOréal,http://www.finanzen.net/aktien/LOréal-Aktie,FR0000120321,853888,LOR,Frankreich,LOR.F,True
34,LVMH Moet Hennessy Louis Vuitton,http://www.finanzen.net/aktien/LVMH-Aktie,FR0000121014,853292,LVMHY,Frankreich,MOH.F,True
35,Nokia,http://www.finanzen.net/aktien/Nokia-Aktie,FI0009000681,870737,NOA3,Finnland,NOA3.F,True
36,Orange,http://www.finanzen.net/aktien/Orange-Aktie,FR0000133308,906849,FTE,Frankreich,FTE.F,True
37,Philips,http://www.finanzen.net/aktien/Philips-Aktie,NL0000009538,940602,PHI1,Niederlande,PHI1.F,True
38,SAFRAN,http://www.finanzen.net/aktien/SAFRAN-Aktie,FR0000073272,924781,SEJ1,Frankreich,SEJ1.F,True
