,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,Aareal Bank,http://www.finanzen.net/aktien/aareal_bank-Aktie,DE0005408116,540811,ARL,Deutschland,ARL.DE,True
1,Airbus,http://www.finanzen.net/aktien/airbus-Aktie,NL0000235190,938914,AIR,Niederlande,AIR.DE,True
2,alstria office REIT-AG,http://www.finanzen.net/aktien/alstria_office_reit-Aktie,DE000A0LD2U1,A0LD2U,AOX,Deutschland,AOX.DE,True
3,Aurubis (ex Norddeutsche Affinerie),http://www.finanzen.net/aktien/aurubis-Aktie,DE0006766504,676650,NDA,Deutschland,NDA.DE,True
4,Axel Springer,http://www.finanzen.net/aktien/axel_springer-Aktie,DE0005501357,550135,SPR,Deutschland,SPR.DE,True
5,Brenntag,http://www.finanzen.net/aktien/brenntag-Aktie,DE000A1DAHH0,A1DAHH,,Deutschland,BNR.DE,True
6,Ceconomy St.,http://www.finanzen.net/aktien/ceconomy-Aktie,DE0007257503,725750,MEO,Deutschland,CEC.DE,True
7,Covestro,http://www.finanzen.net/aktien/covestro-Aktie,DE0006062144,606214,,Deutschland,1COV.DE,True
8,CTS Eventim,http://www.finanzen.net/aktien/eventim-Aktie,DE0005470306,547030,EVD,Deutschland,EVD.DE,True
9,Deutsche Euroshop,http://www.finanzen.net/aktien/deutsche_euroshop-Aktie,DE0007480204,748020,DEQ,Deutschland,DEQ.DE,True
10,Deutsche Wohnen,http://www.finanzen.net/aktien/deutsche_wohnen-Aktie,DE000A0HN5C6,A0HN5C,,Deutschland,DWNI.F,True
11,Dürr,http://www.finanzen.net/aktien/duerr-Aktie,DE0005565204,556520,DUE,Deutschland,DUE.DE,True
12,Evonik,http://www.finanzen.net/aktien/evonik-Aktie,DE000EVNK013,EVNK01,,Deutschland,EVK.F,True
13,Fielmann,http://www.finanzen.net/aktien/fielmann-Aktie,DE0005772206,577220,FIE,Deutschland,FIE.F,True
14,Fraport,http://www.finanzen.net/aktien/fraport-Aktie,DE0005773303,577330,FRA,Deutschland,FRA.DE,True
15,FUCHS PETROLUB,http://www.finanzen.net/aktien/fuchs_petrolub_vz-Aktie,DE0005790430,579043,FPE3,Deutschland,FPE3.DE,True
16,GEA,http://www.finanzen.net/aktien/gea-Aktie,DE0006602006,660200,G1A,Deutschland,G1A.DE,True
17,Gerresheimer,http://www.finanzen.net/aktien/gerresheimer-Aktie,DE000A0LD6E6,A0LD6E,A0LD6E,Deutschland,GXI.DE,True
18,Grand City Properties,http://www.finanzen.net/aktien/Grand_City_Properties-Aktie,LU0775917882,A1JXCV,,Luxemburg,GYC.F,True
19,Hannover Rück,http://www.finanzen.net/aktien/hannover_rueck-Aktie,DE0008402215,840221,HNR1,Deutschland,HNR1.DE,True
20,HELLA GmbH,http://www.finanzen.net/aktien/HELLA-Aktie,DE000A13SX22,A13SX2,HLE,Deutschland,HLE.DE,True
21,HOCHTIEF,http://www.finanzen.net/aktien/hochtief-Aktie,DE0006070006,607000,HOT,Deutschland,HOT.DE,True
22,HUGO BOSS,http://www.finanzen.net/aktien/hugo_boss-Aktie,DE000A1PHFF7,A1PHFF,,Deutschland,BOSS.DE,True
23,innogy,http://www.finanzen.net/aktien/innogy-Aktie,DE000A2AADD2,A2AADD,,Deutschland,IGY.DE,True
24,Jungheinrich,http://www.finanzen.net/aktien/jungheinrich-Aktie,DE0006219934,621993,JUN3,Deutschland,JUN3.DE,True
25,K+S,http://www.finanzen.net/aktien/k+s-Aktie,DE000KSAG888,KSAG88,SDF,Deutschland,SDF.DE,True
26,KION GROUP,http://www.finanzen.net/aktien/kion-Aktie,DE000KGX8881,KGX888,,Deutschland,KGX.F,True
27,KRONES,http://www.finanzen.net/aktien/krones-Aktie,DE0006335003,633500,KRN,Deutschland,KRN.DE,True
