,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,Apple,http://www.finanzen.net/aktien/Apple-Aktie,US0378331005,865985,AAPL,USA,AAPL,True
1,Cisco,http://www.finanzen.net/aktien/Cisco-Aktie,US17275R1023,878841,CSCO,USA,CSCO,True
2,Intel,http://www.finanzen.net/aktien/Intel-Aktie,US4581401001,855681,INTC,USA,INTC,True
3,Microsoft,http://www.finanzen.net/aktien/Microsoft-Aktie,US5949181045,870747,MSFT,USA,MSFT,True
4,21st Century Fox (A),http://www.finanzen.net/aktien/21st_Century_Fox_A-Aktie,US90130A1016,A1WZP6,FOXA,USA,FOXA,True
5,21st Century Fox (B),http://www.finanzen.net/aktien/21st_Century_Fox_B-Aktie,US90130A2006,A1WZPY,FOX,B),FOX,True
6,Activision Blizzard,http://www.finanzen.net/aktien/Activision_Blizzard-Aktie,US00507V1098,A0Q4K4,ATVI,USA,ATVI,True
7,Adobe,http://www.finanzen.net/aktien/Adobe-Aktie,US00724F1012,871981,ADBE,USA,ADBE,True
8,Akamai,http://www.finanzen.net/aktien/Akamai-Aktie,US00971T1016,928906,AKAM,USA,AKAM,True
9,Alexion Pharmaceuticals,http://www.finanzen.net/aktien/Alexion-Aktie,US0153511094,899527,ALXN,USA,ALXN,True
10,Alphabet A (ex Google),http://www.finanzen.net/aktien/Alphabet_A-Aktie,US02079K3059,A14Y6F,GOOGL,USA,GOOGL,True
11,Alphabet C (ex Google),http://www.finanzen.net/aktien/Alphabet-Aktie,US02079K1079,A14Y6H,GOOG,USA,GOOG,True
12,Altaba,http://www.finanzen.net/aktien/Altaba-Aktie,US0213461017,A2DSZX,AABA,USA,AABA,True
13,Amazon,http://www.finanzen.net/aktien/Amazon-Aktie,US0231351067,906866,AMZN,USA,AMZN,True
14,American Airlines,http://www.finanzen.net/aktien/American_Airlines-Aktie,US02376R1023,A1W97M,AAL,USA,AAL,True
15,Amgen,http://www.finanzen.net/aktien/Amgen-Aktie,US0311621009,867900,AMGN,USA,AMGN,True
16,Analog Devices,http://www.finanzen.net/aktien/Analog_Devices-Aktie,US0326541051,862485,ADI,USA,ADI,True
17,Applied Materials,http://www.finanzen.net/aktien/Applied_Materials-Aktie,US0382221051,865177,AMAT,USA,AMAT,True
18,Autodesk,http://www.finanzen.net/aktien/Autodesk-Aktie,US0527691069,869964,ADSK,USA,ADSK,True
19,Automatic Data Processing,http://www.finanzen.net/aktien/Automatic_Data_Processing-Aktie,US0530151036,850347,ADP,USA,ADP,True
20,Baidu.com,http://www.finanzen.net/aktien/Baiducom-Aktie,US0567521085,A0F5DE,BIDU,USA,BIDU,True
21,Biogen,http://www.finanzen.net/aktien/Biogen-Aktie,US09062X1037,789617,BIIB,USA,BIIB,True
22,Biomarin Pharmaceutical,http://www.finanzen.net/aktien/Biomarin_Pharmaceutical-Aktie,US09061G1013,924801,BMRN,USA,BMRN,True
23,Broadcom,http://www.finanzen.net/aktien/Broadcom-Aktie,SG9999014823,A2ADV9,AVGO,Singapur,AVGO,True
24,CA,http://www.finanzen.net/aktien/CA-Aktie,US12673P1057,A0JC59,CA,USA,CA,True
