,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,Adler Real Estate,http://www.finanzen.net/aktien/Adler_Real_Estate-Aktie,DE0005008007,500800,,Deutschland,ADL.F,True
1,ADO Properties,http://www.finanzen.net/aktien/ADO_Properties-Aktie,LU1250154413,A14U78,,Deutschland,ADJ.F,True
2,Aroundtown SA,http://www.finanzen.net/aktien/Aroundtown-Aktie,LU1673108939,A2DW8Z,,Luxemburg,AT1.F,True
3,Bertrandt,http://www.finanzen.net/aktien/Bertrandt-Aktie,DE0005232805,523280,BDT,Deutschland,BDT.DE,True
4,bet-at-home.com,http://www.finanzen.net/aktien/bet-at-homecom-Aktie,DE000A0DNAY5,A0DNAY,,Deutschland,ACX.F,True
5,Bilfinger,http://www.finanzen.net/aktien/bilfinger-Aktie,DE0005909006,590900,GBF,Deutschland,GBF.DE,True
6,Biotest vz.,http://www.finanzen.net/aktien/Biotest-Aktie,DE0005227235,522723,BIO3,Deutschland,BIO3.DE,True
7,BVB (Borussia Dortmund),http://www.finanzen.net/aktien/BVB-Aktie,DE0005493092,549309,BVB,Deutschland,BVB.DE,True
8,Capital Stage,http://www.finanzen.net/aktien/Capital_Stage-Aktie,DE0006095003,609500,CAP.FRA,Deutschland,CAP.DE,True
9,CEWE Stiftung,http://www.finanzen.net/aktien/CEWE_Stiftung-Aktie,DE0005403901,540390,CWC,Deutschland,CWC.DE,True
10,Delivery Hero,http://www.finanzen.net/aktien/Delivery_Hero-Aktie,DE000A2E4K43,A2E4K4,,Deutschland,DHER.DE,True
11,Deutsche Beteiligungs,http://www.finanzen.net/aktien/Deutsche_Beteiligungs-Aktie,DE000A1TNUT7,A1TNUT,,Deutschland,DBAN.DE,True
12,DEUTZ,http://www.finanzen.net/aktien/DEUTZ-Aktie,DE0006305006,630500,DEZ,Deutschland,DEZ.DE,True
13,DIC Asset,http://www.finanzen.net/aktien/DIC_Asset-Aktie,DE000A1X3XX4,A1X3XX,DAZ,Deutschland,DIC.DE,True
14,Diebold Nixdorf,http://www.finanzen.net/aktien/Diebold_Nixdorf-Aktie,DE000A0CAYB2,A0CAYB,WIN,Deutschland,WIN.DE,True
15,DMG MORI,http://www.finanzen.net/aktien/DMG_MORI-Aktie,DE0005878003,587800,GIL,Deutschland,GIL.DE,True
16,ElringKlinger,http://www.finanzen.net/aktien/ElringKlinger-Aktie,DE0007856023,785602,ZIL2,Deutschland,ZIL2.F,True
17,GERRY WEBER,http://www.finanzen.net/aktien/GERRY_WEBER-Aktie,DE0003304101,330410,GWI1,Deutschland,GWI1.DE,True
18,Grammer,http://www.finanzen.net/aktien/Grammer-Aktie,DE0005895403,589540,GMM,Deutschland,GMM.DE,True
19,GRENKE,http://www.finanzen.net/aktien/GRENKE-Aktie,DE000A161N30,A161N3,,Deutschland,GLJ.DE,True
20,HAMBORNER REIT,http://www.finanzen.net/aktien/HAMBORNER_REIT-Aktie,DE0006013006,601300,HAB,Deutschland,HAB.F,True
21,Hapag-Lloyd,http://www.finanzen.net/aktien/Hapag-Lloyd-Aktie,DE000HLAG475,HLAG47,,Deutschland,HLAG.DE,True
