,Name,URL,ISIN,WKN,SymbolFinanzen.net,Country,Yahoo Ticker,Yahoo online
0,1&1 Drillisch,http://www.finanzen.net/aktien/Drillisch-Aktie,DE0005545503,554550,DRI,Deutschland,DRI.DE,True
1,ADVA,http://www.finanzen.net/aktien/ADVA-Aktie,DE0005103006,510300,ADV,Deutschland,ADV.DE,True
2,AIXTRON,http://www.finanzen.net/aktien/AIXTRON-Aktie,DE000A0WMPJ6,A0WMPJ,AIX,Deutschland,AIXA.DE,True
3,Bechtle,http://www.finanzen.net/aktien/Bechtle-Aktie,DE0005158703,515870,BC8,Deutschland,BC8.DE,True
4,CANCOM,http://www.finanzen.net/aktien/CANCOM-Aktie,DE0005419105,541910,COK,Deutschland,COK.DE,True
5,Carl Zeiss Meditec,http://www.finanzen.net/aktien/Carl_Zeiss_Meditec-Aktie,DE0005313704,531370,AFX,Deutschland,AFX.DE,True
6,CompuGroup Medical,http://www.finanzen.net/aktien/CompuGroup_Medical-Aktie,DE0005437305,543730,COP,Deutschland,COP.DE,True
7,Dialog Semiconductor,http://www.finanzen.net/aktien/Dialog_Semiconductor-Aktie,GB0059822006,927200,DLG,Großbritannien,DLG.DE,True
8,Drägerwerk,http://www.finanzen.net/aktien/Draegerwerk-Aktie,DE0005550636,555063,DRW3,Deutschland,DRW3.DE,True
9,EVOTEC,http://www.finanzen.net/aktien/EVOTEC-Aktie,DE0005664809,566480,EVT,Deutschland,EVT.DE,True
10,freenet,http://www.finanzen.net/aktien/freenet-Aktie,DE000A0Z2ZZ5,A0Z2ZZ,FRN,Deutschland,FNTN.DE,True
11,GFT,http://www.finanzen.net/aktien/GFT-Aktie,DE0005800601,580060,GFT,Deutschland,GFT.DE,True
12,JENOPTIK,http://www.finanzen.net/aktien/JENOPTIK-Aktie,DE0006229107,622910,JEN,Deutschland,JEN.DE,True
13,Medigene,http://www.finanzen.net/aktien/Medigene-Aktie,DE000A1X3W00,A1X3W0,MDG,Deutschland,MDG1.DE,True
14,MorphoSys,http://www.finanzen.net/aktien/MorphoSys-Aktie,DE0006632003,663200,MOR,Deutschland,MOR.DE,True
15,Nemetschek,http://www.finanzen.net/aktien/Nemetschek-Aktie,DE0006452907,645290,NEM,Deutschland,NEM.DE,True
16,Nordex,http://www.finanzen.net/aktien/Nordex-Aktie,DE000A0D6554,A0D655,NDX1,Deutschland,NDX1.DE,True
17,Pfeiffer Vacuum,http://www.finanzen.net/aktien/Pfeiffer_Vacuum-Aktie,DE0006916604,691660,PFV,Deutschland,PFV.DE,True
18,QIAGEN,http://www.finanzen.net/aktien/QIAGEN-Aktie,NL0012169213,A2DKCH,QGEN,Niederlande,QIA.DE,True
19,RIB Software,http://www.finanzen.net/aktien/RIB_Software-Aktie,DE000A0Z2XN6,A0Z2XN,,Deutschland,RIB.DE,True
20,S&T;,http://www.finanzen.net/aktien/ST-Aktie,AT0000A0E9W5,A0X9EJ,,Österreich,SANT.DE,True
21,Sartorius vz.,http://www.finanzen.net/aktien/Sartorius_vz-Aktie,DE0007165631,716563,SRT3,Deutschland,SRT3.DE,True
22,Siltronic,http://www.finanzen.net/aktien/Siltronic-Aktie,DE000WAF3001,WAF300,WAF,Deutschland,WAF.DE,True
23,SLM Solutions,http://www.finanzen.net/aktien/SLM_Solutions-Aktie,DE000A111338,A11133,,Deutschland,AM3D.DE,True
24,SMA Solar,http://www.finanzen.net/aktien/SMA_Solar-Aktie,DE000A0DJ6J9,A0DJ6J,S92,Deutschland,S92.F,True
25,Software,http://www.finanzen.net/aktien/Software-Aktie,DE000A2GS401,A2GS40,SOW,Deutschland,SOW.DE,True
26,Telefónica Deutschland,http://www.finanzen.net/aktien/Telefonica_Deutschland-Aktie,DE000A1J5RX9,A1J5RX,,Deutschland,O2D.DE,True
27,United Internet,http://www.finanzen.net/aktien/United_Internet-Aktie,DE0005089031,508903,UTDI,Deutschland,UTDI.DE,True
28,Wirecard,http://www.finanzen.net/aktien/Wirecard-Aktie,DE0007472060,747206,IGP,Deutschland,WDI.F,True
29,XING,http://www.finanzen.net/aktien/XING-Aktie,DE000XNG8888,XNG888,,Deutschland,O1BC.DE,True
30,ISRA VISION Aktie, https://www.finanzen.net/aktien/ISRA_VISION-Aktie,DE0005488100, 548810,ISR, Deutschland,ISR.DE,True
