Date,Country,StockExchange
2017-04-14,Germany,Xetra
2017-04-17,Germany,Xetra
2017-05-01,Germany,Xetra
2017-05-06,Germany,Xetra
2017-10-03,Germany,Xetra
2017-10-31,Germany,Xetra
2017-12-25,Germany,Xetra
2017-12-26,Germany,Xetra
2018-01-01,Germany,Xetra
2018-03-30,Germany,Xetra
2018-04-02,Germany,Xetra
2018-05-01,Germany,Xetra
2018-05-21,Germany,Xetra
2018-12-24,Germany,Xetra
2018-12-25,Germany,Xetra
2018-12-26,Germany,Xetra
2018-12-31,Germany,Xetra
2017-01-02,US,NYSE
2017-01-16,US,NYSE
2017-02-20,US,NYSE
2017-04-14,US,NYSE
2017-05-29,US,NYSE
2017-07-04,US,NYSE
2017-09-04,US,NYSE
2017-11-23,US,NYSE
2017-12-25,US,NYSE
2018-01-16,US,NYSE
2018-02-20,US,NYSE
2018-04-14,US,NYSE
2018-05-29,US,NYSE
2018-07-04,US,NYSE
2018-09-04,US,NYSE
2018-11-23,US,NYSE
2018-12-25,US,NYSE
2018-01-01,US,NYSE
2018-01-15,US,NYSE
2018-02-19,US,NYSE
2018-03-30,US,NYSE
2018-05-28,US,NYSE
2018-07-04,US,NYSE
2018-09-03,US,NYSE
2018-11-22,US,NYSE
2018-12-25,US,NYSE
2019-01-01,US,NYSE
2019-01-21,US,NYSE
2019-02-18,US,NYSE
2019-04-19,US,NYSE
2019-05-27,US,NYSE
2019-07-04,US,NYSE
2019-09-02,US,NYSE
2019-11-28,US,NYSE
2019-12-25,US,NYSE
