Label,Name
HEI.DE,HeidelbergCement AG
MUV2.DE,Münchener Rückversicherungs
DB1.DE,Deutsche Boerse AG
TKA.DE,thyssenkrupp AG
SIE.DE,Siemens Aktiengesellschaft
VNA.DE,Vonovia SE
PSM.DE,ProSiebenSat.1 Media SE
DTE.DE,Deutsche Telekom AG
IFX.DE,Infineon Technologies AG
RWE.DE,RWE AG
ADS.DE,Adidas AG
BMW.DE,Bayerische Motoren Werke
DPW.DE,Deutsche Post AG
BEI.DE,Beiersdorf Aktiengesellschaft
DAI.DE,Daimler AG
LIN.DE,Linde Aktiengesellschaft
BAS.DE,BASF SE
EOAN.DE,E.ON SE
SAP.DE,SAP SE
LHA.DE,Deutsche Lufthansa AG
ALV.DE,Allianz SE
HEN3.DE,Henkel AG & Co. KGaA
CBK.DE,Commerzbank AG
FME.DE,Fresenius Medical Care AG & Co. KGAA
CON.DE,Continental Aktiengesellschaft
FRE.DE,Fresenius SE & Co. KGaA
VOW3.DE,Volkswagen AG
MRK.DE,Merck Kommanditgesellschaft
BAYN.DE,Bayer Aktiengesellschaft
DBK.DE,Deutsche Bank AG
