Label,Name
KRN.DE,Krones AG
HNR1.DE,Hannover Rück SE
ZAL.DE,Zalando SE
OSR.DE,OSRAM Licht AG
NOEJ.DE,NORMA Group SE
RRTL.DE,RTL Group SA
SZU.DE,Südzucker AG
DUE.DE,Dürr Aktiengesellschaft
TEG.DE,TAG Immobilien AG
SAZ.DE,Stada-Arzneimittel AG
GIL.DE,DMG Mori Aktiengesellschaft
RHK.DE,Rhön-Klinikum Aktiengesellschaft
BOSS.DE,Hugo Boss AG
FIE.DE,Fielmann AG
DEQ.DE,Deutsche Euroshop AG
EVD.DE,CTS Eventim AG & Co. KGaA
FRA.DE,Fraport AG
GXI.DE,Gerresheimer AG
HOT.DE,HOCHTIEF Aktiengesellschaft
FPE3.DE,Fuchs Petrolub SE
EVK.DE,Evonik Industries AG
LEG.DE,LEG Immobilien AG
MEO.DE,METRO AG
ARL.DE,Aareal Bank AG
JUN3.DE,Jungheinrich Aktiengesellschaft
SHA.DE,Schaeffler AG
LXS.DE,LANXESS Aktiengesellschaft
SNH.DE,Steinhoff International Holdings N.V.
1COV.DE,Covestro AG
KGX.DE,KION GROUP AG
