Label,Name
BMSA.DE,Braas Monier Building Group S.A.
TIM.DE,ZEAL Network SE
KWS.DE,KWS Saat SE
ZO1.DE,zooplus AG
HBH.DE,Hornbach Holding AG & Co. KGaA
BDT.DE,Bertrandt Aktiengesellschaft
TLG.DE,TLG Immobilien AG
FRU.DE,Ferratum Oyj
WUW.DE,Wüstenrot & Württembergische AG
WSU.DE,Washtec AG
ADJ.DE,ADO Properties S.A.
BYW6.DE,BayWa Aktiengesellschaft
HYQ.DE,Hypoport AG
AAD.DE,Amadeus FiRe AG
GFK.DE,GfK SE
CAP.DE,Capital Stage AG
TTK.DE,TAKKT AG
G24.DE,Scout 24 AG
DIC.DE,DIC Asset AG
GMM.DE,Grammer Aktiengesellschaft
ADL.DE,ADLER Real Estate Aktiengesellschaft
HAB.DE,Hamborner REIT AG
PUM.DE,PUMA SE
P1Z.DE,Patrizia Immobilien AG
SGL.DE,SGL Carbon SE
CWC.DE,CEWE Stiftung & Co. KGaA
SFQ.DE,Saf-Holland S.A.
HHFA.DE,Hamburger Hafen und Logistik Aktiengesellschaft
KCO.DE,Klöckner & Co SE
STM.DE,Stabilus S.A.
