"Positionsinhaber","Emittent","ISIN","Position","Datum"
"Algert Global LLC","Vossloh Aktiengesellschaft","DE0007667107","0,69","2018-02-13"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,59","2018-02-12"
"Bridgewater Associates, LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,78","2018-02-12"
"Bridgewater Associates, LP","Deutsche Post AG","DE0005552004","0,66","2018-02-12"
"Bridgewater Associates, LP","Deutsche Telekom AG","DE0005557508","0,57","2018-02-12"
"AHL Partners LLP","Evotec AG","DE0005664809","1,28","2018-02-12"
"Bridgewater Associates, LP","Fresenius SE & Co. KGaA","DE0005785604","0,63","2018-02-12"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,91","2018-02-12"
"SFM UK Management LLP","KRONES Aktiengesellschaft","DE0006335003","0,52","2018-02-12"
"WorldQuant, LLC","MorphoSys AG","DE0006632003","0,49","2018-02-12"
"Millennium International Management LP","Aurubis AG","DE0006766504","0,69","2018-02-12"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,86","2018-02-12"
"Marshall Wace LLP","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,51","2018-02-12"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,87","2018-02-12"
"Bridgewater Associates, LP","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","DE0008430026","0,85","2018-02-12"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,90","2018-02-12"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,61","2018-02-12"
"Bridgewater Associates, LP","adidas AG","DE000A1EWWW0","0,75","2018-02-12"
"Bridgewater Associates, LP","BASF SE","DE000BASF111","0,84","2018-02-12"
"Bridgewater Associates, LP","Bayer Aktiengesellschaft","DE000BAY0017","0,86","2018-02-12"
"Bridgewater Associates, LP","E.ON SE","DE000ENAG999","0,85","2018-02-12"
"Capital Fund Management SA","Klöckner & Co SE","DE000KC01000","1,00","2018-02-12"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,50","2018-02-12"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,97","2018-02-12"
"PDT Partners, LLC","Ichor Holdings, Ltd.","KYG4740B1059","0,94","2018-02-12"
"HBK Investments L.P.","Granite Point Mortgage Trust, Inc.","US38741L1070","0,61","2018-02-12"
"PDT Partners, LLC","IMPINJ, Inc.","US4532041096","1,31","2018-02-12"
"PDT Partners, LLC","Madrigal Pharmaceuticals, Inc.","US5588681057","0,50","2018-02-12"
"Marshall Wace LLP","S&T AG","AT0000A0E9W5","1,11","2018-02-09"
"AQR Capital Management, LLC","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","1,46","2018-02-09"
"Marshall Wace LLP","CANCOM SE","DE0005419105","0,70","2018-02-09"
"BlackRock Institutional Trust Company, National Association","LANXESS Aktiengesellschaft","DE0005470405","0,50","2018-02-09"
"Bridgewater Associates, LP","Fresenius SE & Co. KGaA","DE0005785604","0,70","2018-02-09"
"AHL Partners LLP","Bilfinger SE","DE0005909006","0,50","2018-02-09"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,86","2018-02-09"
"Citadel Europe LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,51","2018-02-09"
"Millennium International Management LP","Aurubis AG","DE0006766504","0,81","2018-02-09"
"Pelham Long Short Master Fund Ltd","CECONOMY AG","DE0007257503","2,15","2018-02-09"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,58","2018-02-09"
"Bridgewater Associates, LP","adidas AG","DE000A1EWWW0","0,84","2018-02-09"
"Hengistbury Investment Partners LLP","METRO AG","DE000BFB0019","0,83","2018-02-09"
"BG Master Fund Plc","COMMERZBANK Aktiengesellschaft","DE000CBK1001","0,40","2018-02-09"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,62","2018-02-09"
"Millennium International Management LP","Uniper Risk Consulting GmbH","DE000UNSE018","0,60","2018-02-09"
"BNP PARIBAS SA","SAF-HOLLAND","LU0307018795","1,67","2018-02-09"
"PDT Partners, LLC","IMPINJ, Inc.","US4532041096","1,26","2018-02-09"
"Bridgewater Associates, LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,81","2018-02-08"
"Bridgewater Associates, LP","Deutsche Post AG","DE0005552004","0,70","2018-02-08"
"Bridgewater Associates, LP","Deutsche Telekom AG","DE0005557508","0,61","2018-02-08"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","1,00","2018-02-08"
"AHL Partners LLP","Evotec AG","DE0005664809","1,36","2018-02-08"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,30","2018-02-08"
"Millennium International Management LP","Aurubis AG","DE0006766504","0,91","2018-02-08"
"AHL Partners LLP","RWE Aktiengesellschaft","DE0007037129","0,47","2018-02-08"
"Bridgewater Associates, LP","Daimler AG","DE0007100000","0,84","2018-02-08"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,74","2018-02-08"
"AKO Capital LLP","Koenig & Bauer AG","DE0007193500","1,27","2018-02-08"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,90","2018-02-08"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,91","2018-02-08"
"Bridgewater Associates, LP","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","DE0008430026","0,90","2018-02-08"
"Rye Bay Capital LLP","Nordex SE","DE000A0D6554","0,46","2018-02-08"
"Quentec Asset Management LLC","SMA Solar Technology AG","DE000A0DJ6J9","0,63","2018-02-08"
"AKO Capital LLP","Gerresheimer AG","DE000A0LD6E6","1,13","2018-02-08"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,47","2018-02-08"
"UBS Asset Management (UK) Ltd","AIXTRON SE","DE000A0WMPJ6","0,88","2018-02-08"
"Ennismore Fund Management Limited","RIB Software SE","DE000A0Z2XN6","1,71","2018-02-08"
"Adage Capital Management L.P.","HUGO BOSS AG","DE000A1PHFF7","0,00","2018-02-08"
"Bridgewater Associates, LP","BASF SE","DE000BASF111","0,90","2018-02-08"
"Bridgewater Associates, LP","Bayer Aktiengesellschaft","DE000BAY0017","0,90","2018-02-08"
"Hengistbury Investment Partners LLP","METRO AG","DE000BFB0019","1,04","2018-02-08"
"Bridgewater Associates, LP","E.ON SE","DE000ENAG999","0,90","2018-02-08"
"AQR Capital Management, LLC","ProSiebenSat.1 Media SE","DE000PSM7770","2,10","2018-02-08"
"GLG Partners LP","Uniper SE","DE000UNSE018","0,51","2018-02-08"
"Marshall Wace LLP","Grand City Properties SA","LU0775917882","0,60","2018-02-08"
"PDT Partners, LLC","Envision Healthcare Corporation","US29414D1000","1,24","2018-02-08"
"HBK Investments L.P.","Frontier Communications Corporation","US35906A3068","0,99","2018-02-08"
"PDT Partners, LLC","IMPINJ, Inc.","US4532041096","1,30","2018-02-08"
"Bridgewater Associates, LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,76","2018-02-07"
"Bridgewater Associates, LP","Deutsche Telekom AG","DE0005557508","0,57","2018-02-07"
"Marshall Wace LLP","Evotec AG","DE0005664809","0,83","2018-02-07"
"WorldQuant, LLC","Evotec AG","DE0005664809","0,97","2018-02-07"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","0,68","2018-02-07"
"BlackRock Investment Management, LLC","Bilfinger SE","DE0005909006","0,52","2018-02-07"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,70","2018-02-07"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,69","2018-02-07"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,29","2018-02-07"
"WorldQuant, LLC","GEA Group Aktiengesellschaft","DE0006602006","0,50","2018-02-07"
"Bridgewater Associates, LP","Daimler AG","DE0007100000","0,79","2018-02-07"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,69","2018-02-07"
"BlackRock Institutional Trust Company, National Association","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,85","2018-02-07"
"Algert Global LLC","Vossloh Aktiengesellschaft","DE0007667107","0,70","2018-02-07"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,85","2018-02-07"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,49","2018-02-07"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,39","2018-02-07"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","1,39","2018-02-07"
"GLG Partners LP","Software Aktiengesellschaft","DE000A2GS401","1,01","2018-02-07"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,41","2018-02-07"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,56","2018-02-07"
"Adage Capital Management L.P.","Wacker Chemie AG","DE000WCH8881","1,28","2018-02-07"
"Citadel Europe LLP","Wacker Chemie AG","DE000WCH8881","0,51","2018-02-07"
"BlackRock Institutional Trust Company, National Association","GRAND CITY PROPERTIES SA","LU0775917882","0,55","2018-02-07"
"BNP PARIBAS SA","QIAGEN N.V","NL0012169213","0,47","2018-02-07"
"PDT Partners, LLC","AnaptysBio, Inc.","US0327241065","0,59","2018-02-07"
"PDT Partners, LLC","Envision Healthcare Corporation","US29414D1000","1,19","2018-02-07"
"PDT Partners, LLC","Restoration Hardware Holdings, Inc.","US74967X1037","1,20","2018-02-07"
"PDT Partners, LLC","The Trade Desk, Inc.","US88339J1051","1,07","2018-02-07"
"Oxford Asset Management","ADVA Optical Networking SE","DE0005103006","0,52","2018-02-06"
"TT International","zooplus AG","DE0005111702","0,67","2018-02-06"
"Bridgewater Associates, LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,80","2018-02-06"
"Bridgewater Associates, LP","Deutsche Telekom AG","DE0005557508","0,60","2018-02-06"
"AHL Partners LLP","Evotec AG","DE0005664809","1,44","2018-02-06"
"BlueMountain Capital Management, LLC","Evotec AG","DE0005664809","0,78","2018-02-06"
"Bridgewater Associates, LP","Fresenius SE & Co. KGaA","DE0005785604","0,65","2018-02-06"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,66","2018-02-06"
"Schroder Investment Management Limited","Bilfinger SE","DE0005909006","0,80","2018-02-06"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","Capital Stage AG","DE0006095003","0,89","2018-02-06"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,30","2018-02-06"
"UBS Asset Management (UK) Ltd","Salzgitter Aktiengesellschaft","DE0006202005","0,48","2018-02-06"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,50","2018-02-06"
"Millennium International Management LP","Aurubis AG","DE0006766504","0,80","2018-02-06"
"Bridgewater Associates, LP","Daimler AG","DE0007100000","0,83","2018-02-06"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,73","2018-02-06"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,89","2018-02-06"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,90","2018-02-06"
